feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	dysbiosis	dysbiosis	-0.201588452478192	0.0178496908320677	1595	1590	1.66030970287936e-28	1.09580440390038e-26
PWY.5097..L.lysine.biosynthesis.VI	dysbiosis	dysbiosis	0.0477278469310905	0.00431840550243179	1595	1592	2.06637071050946e-27	6.81902334468122e-26
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	dysbiosis	dysbiosis	-0.0514326766075418	0.00477715381474359	1595	1593	3.8500362373316e-26	8.47007972212951e-25
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	dysbiosis	dysbiosis	0.0471110664663744	0.00474274848813742	1595	1594	1.33582898422059e-22	2.20411782396398e-21
PWY.2942..L.lysine.biosynthesis.III	dysbiosis	dysbiosis	0.054703238527648	0.00553591763705984	1595	1593	2.17599617565989e-22	2.87231495187106e-21
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	dysbiosis	dysbiosis	-0.125319485398107	0.0127359404359783	1595	1592	3.21791524407164e-22	3.5397067684788e-21
PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	dysbiosis	dysbiosis	-0.0708382014893901	0.00727149047943423	1595	1593	8.02217639327334e-22	7.56376631365772e-21
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	dysbiosis	dysbiosis	-0.0480147190832372	0.00555909305395339	1595	1593	1.37680559758196e-17	1.13586461800512e-16
ARO.PWY..chorismate.biosynthesis.I	dysbiosis	dysbiosis	-0.0720584732268674	0.00883135955093864	1595	1593	6.76727432587801e-16	4.9626678389772e-15
COA.PWY..coenzyme.A.biosynthesis.I	dysbiosis	dysbiosis	-0.0475064044050578	0.00642386137502676	1595	1593	2.27153071848366e-13	1.49921027419921e-12
PWY.5686..UMP.biosynthesis	diagnosis	CD	-0.0806701619393276	0.0118620770093486	1595	1594	1.46870192760325e-11	8.81221156561951e-11
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	dysbiosis	dysbiosis	-0.047981022368286	0.00755581955920882	1595	1593	2.79895816254729e-10	1.53942698940101e-09
HISTSYN.PWY..L.histidine.biosynthesis	dysbiosis	dysbiosis	-0.0345345471888986	0.00588317530281207	1595	1593	5.29196481218879e-09	2.68668982772662e-08
ANAEROFRUCAT.PWY..homolactic.fermentation	dysbiosis	dysbiosis	-0.0936956279636775	0.0171997071553417	1595	1588	5.90963765745885e-08	2.78597203851632e-07
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	dysbiosis	dysbiosis	-0.0492160624413954	0.0091305792160496	1595	1593	8.09335452806101e-08	3.56107599234684e-07
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	dysbiosis	dysbiosis	-0.109906243703863	0.0205443806082033	1595	1584	1.00932648341547e-07	4.16347174408881e-07
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	diagnosis	CD	-0.054505818769758	0.0115223675085623	1595	1594	2.43870593518781e-06	9.46791716014091e-06
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	dysbiosis	dysbiosis	-0.0288509736655031	0.00670584181989763	1595	1593	1.79273302945937e-05	6.57335444135103e-05
PWY.3841..folate.transformations.II	dysbiosis	dysbiosis	-0.0188608722679867	0.00439683026321251	1595	1593	1.89722863927332e-05	6.59037316800205e-05
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	diagnosis	CD	0.128945373329448	0.030941591492264	1595	1592	3.24687881805785e-05	0.000107147000995909
PWY.1042..glycolysis.IV..plant.cytosol.	diagnosis	CD	-0.0726977807139673	0.0189685787979316	1595	1593	0.000131765571741406	0.000414120368330133
PWY.5686..UMP.biosynthesis	diagnosis	UC	-0.0478601141721537	0.0130136327052053	1595	1594	0.000243183245151744	0.000729549735455233
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	diagnosis	CD	0.0774691310397679	0.0221824727911475	1595	1593	0.000491870412883981	0.00141145422827577
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	diagnosis	CD	0.0439801271105897	0.0135056525434901	1595	1593	0.00115199623862756	0.0031679896562258
ANAEROFRUCAT.PWY..homolactic.fermentation	diagnosis	CD	0.129480132163446	0.0417861810254513	1595	1588	0.0019781751504321	0.00522238239714074
COA.PWY..coenzyme.A.biosynthesis.I	diagnosis	CD	0.0470791367755707	0.0156065816629853	1595	1593	0.00259663110324351	0.00634732047459524
PWY.1042..glycolysis.IV..plant.cytosol.	diagnosis	UC	-0.0628650904034282	0.0208100248566488	1595	1593	0.0025603876164583	0.00634732047459524
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	diagnosis	UC	-0.0373076501192685	0.0126409446282169	1595	1594	0.00321035510252079	0.00732949551531306
PWY.1042..glycolysis.IV..plant.cytosol.	dysbiosis	dysbiosis	0.0230354548878431	0.00780770083484612	1595	1593	0.00322053590824362	0.00732949551531306
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	diagnosis	CD	0.0474771051750367	0.0162916448334563	1595	1593	0.00361585084299435	0.00795487185458757
PWY.5667..CDP.diacylglycerol.biosynthesis.I	dysbiosis	dysbiosis	-0.0190195162711173	0.00677859687621775	1595	1592	0.00507999031927592	0.0108154632603939
PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	diagnosis	CD	0.04774958179813	0.0176658715613143	1595	1593	0.00694627750098373	0.0141515652621535
PWY.5667..CDP.diacylglycerol.biosynthesis.I	diagnosis	CD	0.0444112201502742	0.0164684010960166	1595	1592	0.00707578263107675	0.0141515652621535
PANTO.PWY..phosphopantothenate.biosynthesis.I	dysbiosis	dysbiosis	-0.0133189829020257	0.0061603285696907	1595	1594	0.0307624292769081	0.0597153038904686
PWY.5097..L.lysine.biosynthesis.VI	diagnosis	CD	-0.0218178939644858	0.0104914387457974	1595	1592	0.0377229283204448	0.0711346648328387
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	diagnosis	UC	-0.0575842312817584	0.0308244464772236	1595	1593	0.0619269276637616	0.113532700716896
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	diagnosis	CD	0.069653280229206	0.0433652971891136	1595	1590	0.108428717953694	0.193413388782265
ANAEROFRUCAT.PWY..homolactic.fermentation	diagnosis	UC	0.0713767991958249	0.0458427315545056	1595	1588	0.119671098406813	0.207849802496043
HISTSYN.PWY..L.histidine.biosynthesis	diagnosis	UC	-0.0239756677781453	0.015680547561599	1595	1593	0.126461478307961	0.214011732521165
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	diagnosis	CD	-0.0164308313296708	0.0116059542343606	1595	1593	0.157051966136865	0.259135744125827
PWY.2942..L.lysine.biosynthesis.III	diagnosis	CD	0.0174388490334719	0.0134493485519798	1595	1593	0.194946031366207	0.313815562687064
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	diagnosis	UC	-0.0157603367505262	0.0127326458494881	1595	1593	0.215976711616942	0.339391975398051
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	diagnosis	UC	0.039202861504675	0.0339453627452837	1595	1592	0.248312499802583	0.381130813650476
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	dysbiosis	dysbiosis	-0.0123232292987782	0.011565005719683	1595	1593	0.28678341328964	0.416376984675459
HISTSYN.PWY..L.histidine.biosynthesis	diagnosis	CD	0.0151395812927107	0.0142930008044596	1595	1593	0.289655634332306	0.416376984675459
PWY.2942..L.lysine.biosynthesis.III	diagnosis	UC	0.0156112345622429	0.0147549945967987	1595	1593	0.290202140834411	0.416376984675459
ARO.PWY..chorismate.biosynthesis.I	diagnosis	CD	-0.0220196532235836	0.0214555274437775	1595	1593	0.304909599180667	0.428170926509021
PANTO.PWY..phosphopantothenate.biosynthesis.I	diagnosis	CD	0.0144649007471715	0.0149663364884331	1595	1594	0.333943055488986	0.459171701297355
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	diagnosis	CD	-0.0172162340836201	0.0183566406709831	1595	1593	0.348451008591663	0.469342174837751
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	diagnosis	UC	0.0151828547628901	0.0178732174693493	1595	1593	0.395744733655955	0.522383048425861
PWY.5097..L.lysine.biosynthesis.VI	diagnosis	UC	0.00870809641785919	0.0115099345822291	1595	1592	0.44941822177336	0.581600051706701
PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	diagnosis	UC	0.0140725508552755	0.0193808524202879	1595	1593	0.467880666924079	0.593848538788254
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	diagnosis	UC	0.0164954794166777	0.0243359196850346	1595	1593	0.497981616895456	0.616462226608957
COA.PWY..coenzyme.A.biosynthesis.I	diagnosis	UC	0.0113053801273976	0.0171216492175712	1595	1593	0.509158593122033	0.616462226608957
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	diagnosis	CD	0.0326027449833044	0.0499119664885422	1595	1584	0.51371852217413	0.616462226608957
PWY.5686..UMP.biosynthesis	dysbiosis	dysbiosis	-0.00288624617958131	0.00488257710582932	1595	1594	0.554516140563561	0.653536879949911
PWY.3841..folate.transformations.II	diagnosis	UC	-0.006733521519891	0.0117189617024717	1595	1593	0.565654275231547	0.654968108162844
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	diagnosis	CD	-0.0140853146255266	0.0280968401495702	1595	1593	0.616220126343807	0.701216005839504
PANTO.PWY..phosphopantothenate.biosynthesis.I	diagnosis	UC	0.00627387972337511	0.0164192498370634	1595	1594	0.702434412205614	0.785774088230009
ARO.PWY..chorismate.biosynthesis.I	diagnosis	UC	0.00750766084235512	0.0235384033866684	1595	1593	0.749803491130992	0.798177909913637
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	diagnosis	UC	0.00686020948759753	0.0201386805367508	1595	1593	0.7334132554396	0.798177909913637
PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	diagnosis	UC	0.0153748256596207	0.0475751463530741	1595	1590	0.746609515223311	0.798177909913637
PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	diagnosis	UC	0.00277668719950916	0.0148167645098397	1595	1593	0.851369567038399	0.881038894818744
PWY.3841..folate.transformations.II	diagnosis	CD	0.00196134455564444	0.0106819693880498	1595	1593	0.854340746490903	0.881038894818744
PWY.5667..CDP.diacylglycerol.biosynthesis.I	diagnosis	UC	0.00266932456884478	0.0180671330102357	1595	1592	0.882562911933406	0.896140802886227
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	diagnosis	UC	0.00168748207243228	0.0547573581729825	1595	1584	0.975418990294466	0.975418990294466
