feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
CSM5FZ3N_P	0.0309059994354599	0.0476143547581548	0.0331846162040517	0.0480381458278708	0.0440313003284059	0.0351789044164587	0.0345261066363314	0.0703561363119987	0.0502826689008115	0.0490612140083147	0.0443358277910707	0.0526272859179657	0.0262059583429074	0.0715229126359985	0.0486582651223552	0.040378771952802	0.0539225890417973	0.0434484911159548	0.0479187535653643	0.0238708618294445	0.0479561923028529	0.0559746435536284
CSM5FZ3R_P	0.0264239274496216	0.0473047937690015	0.0264048336368825	0.0481847639521035	0.0481847639521035	0.0286181884095974	0.0308716401890644	0.0746858304051911	0.0515297453598216	0.0480480522528917	0.0481158989341579	0.05679861933913	0.0176725966108737	0.0746555348889784	0.0518944371831382	0.0441007246992979	0.0573164435406141	0.0462071541206739	0.0500164970542066	0.0172577517060958	0.0496664438206567	0.0560413587258979
CSM5FZ3T_P	0.0249703340772327	0.0531386480688257	0.026657436208277	0.0477333911086796	0.0465707875015848	0.0283867308015948	0.0324194654730881	0.0854834194655924	0.0496061102557322	0.0471941326774329	0.0473523171384649	0.0563229117056978	0.00155233970472313	0.0807753072177795	0.0532382401705876	0.0390775254738109	0.0619020075740092	0.0441325700880907	0.0514308224315763	0.00992851255081135	0.0547438998048591	0.0573830905015494
CSM5FZ3V_P	0.0264400698592435	0.0480836084185051	0.0257987231285288	0.0501324386797721	0.0488069501109947	0.0273965231120834	0.0281071074554992	0.0930053658569964	0.0473911163155941	0.050077002199251	0.0491365536207038	0.0546817093595219	0.0163185050799184	0.0576642615970972	0.0528147293105082	0.0490977016939788	0.0562193178506279	0.0474854047228402	0.0503887454202567	0.0211631663786792	0.0497001964979685	0.0500908033314309
CSM5FZ3X_P	0.0274962116327182	0.0496733860373095	0.03195918130509	0.0453189998928165	0.0426915274202187	0.0335160637506648	0.0352160648862805	0.0776684907558549	0.0491713816756118	0.0475872755661705	0.044807195012127	0.0548225476029097	0.0241851918513818	0.0837776364912835	0.0493353459139847	0.039810485964179	0.0574063066495277	0.0407488467667077	0.047082626619983	0.0168442919988407	0.0489462808663845	0.051934661339955
CSM5FZ3Z_P	0.0306658999962086	0.0519732777825225	0.0330093350393194	0.0457192199324873	0.0427489622595841	0.0341076521294456	0.0349935736905566	0.0947522823992062	0.0470974950577699	0.0469197335124855	0.0438548883309844	0.0502957597902335	0.0133726534000142	0.0719261257127024	0.0505004151486421	0.0454775691823664	0.0567793989718167	0.0414694727015334	0.049127781164649	0.013571929995798	0.0488663208253488	0.0527702529763252
CSM5FZ42_P	0.0252062662915951	0.0511861924123767	0.0384466029436005	0.0460790599422077	0.0442815024696558	0.039812659725181	0.0400597746583365	0.0675001228785794	0.0469781781220732	0.0432247466868269	0.0432608634847496	0.0519235996662048	0.0171496405835497	0.083503666126544	0.0530733629925564	0.0332451051555507	0.0585815820080777	0.0424415824371344	0.0522512306187894	0.0171194979928022	0.0483832030277282	0.0562915597758803
CSM5FZ44_P	0.0245031476900134	0.0544344428402403	0.0259545381455713	0.045616519223595	0.0454764837547105	0.0277795882882121	0.0338508976586445	0.0803389186533405	0.0517663986436	0.0470567847163815	0.0461673439428117	0.0555287219908377	0.0144749671858793	0.0792208598948193	0.0523820262709599	0.0425226670768811	0.0623971349438376	0.0432952957413517	0.0506426383416585	0.00988846487792933	0.0512454722618313	0.0554566878568932
CSM5FZ46_P	0.0285933424169593	0.0529313860178268	0.0215704350471264	0.0454890423371093	0.0454890423371093	0.0233269672073015	0.0271821573377141	0.0909736554267757	0.0516556285346401	0.0501084789808586	0.0470551168572379	0.0555615536812173	0.014238419893624	0.0799013421371382	0.052572751194568	0.0458766685981765	0.0606910248790024	0.0430114823810711	0.0506022729609369	0.00852262371008906	0.0512548487508636	0.0533917593126538
CSM5FZ4A_P	0.0143018386994189	0.0412244986460311	0.0277744316703447	0.0564933891624666	0.0482368289180777	0.0295706087559869	0.0241064287022136	0.0697803534774355	0.0549437934257823	0.0547478052212125	0.0497952182250961	0.0567269608457246	0.0133212953772321	0.0591066455299752	0.0585419296707109	0.0509399483468088	0.0597968805712689	0.0482750146961038	0.0548791064768862	0.0157269993928823	0.0544208771405718	0.0572891470477696
