feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
CSM5FZ3N_P	-5.01596927023252	-4.39245960749493	-4.91334160090525	-4.37967572267289	-4.50532673933045	-4.82914563640072	-4.85616853305647	-3.82917993204403	-4.31379496269376	-4.34927325628472	-4.49538317753842	-4.24804519535553	-5.25396132097141	-3.80545070101706	-4.36117130690064	-4.63025915539419	-4.2129664219625	-4.52455011393937	-4.38326580770092	-5.38860553560386	-4.3821390757238	-4.15908275374554
CSM5FZ3R_P	-5.24201127614275	-4.40186979909948	-5.24305413800751	-4.37527915214882	-4.37527915214882	-5.12692384039395	-5.01757405538766	-3.74302163274727	-4.27845072651006	-4.37937824081625	-4.37734250734989	-4.13800032865039	-5.82234216106736	-3.74360696543811	-4.26827629239442	-4.50305382624833	-4.12490709597195	-4.43573995251922	-4.32145216903093	-5.85661166348154	-4.33158473806648	-4.15736425535946
CSM5FZ3T_P	-5.32364106661262	-4.23409466592093	-5.22931815456406	-4.38885735680198	-4.42443091176024	-5.13863948118108	-4.94699588564605	-3.54821157064711	-4.33333835358373	-4.40524867941074	-4.40042116550916	-4.15013427137502	-9.33133998184626	-3.62994185718134	-4.23139330708856	-4.6775170760941	-4.01386999083436	-4.50201242375753	-4.28122296572717	-6.65420668939662	-4.19115797778418	-4.12323051983491
CSM5FZ3V_P	-5.24113020107394	-4.37831102309039	-5.27655652651866	-4.31811177441291	-4.35676958754564	-5.18986337714502	-5.15292119832354	-3.42654223622114	-4.3992395451789	-4.31970799015844	-4.34705951743654	-4.19279784723383	-5.93734729009842	-4.11617872863032	-4.2429158560282	-4.34820069746092	-4.15279024120565	-4.39637203990275	-4.31075465326278	-5.56230069384141	-4.3306046340418	-4.31931044076669
CSM5FZ3X_P	-5.18462332878043	-4.33138309686036	-4.96762573839916	-4.46374016589772	-4.54990640942965	-4.89900346618055	-4.82762248123666	-3.68652675780806	-4.34603729549585	-4.39328032909197	-4.48012577501734	-4.18908681803781	-5.36973220762711	-3.57729100586156	-4.34123456541171	-4.65070770734742	-4.12264694987383	-4.61709695957198	-4.40866138286649	-5.89159639955949	-4.35265694750382	-4.26715847098805
CSM5FZ3Z_P	-5.02722089733147	-4.26608614190089	-4.92098211347235	-4.45105540147021	-4.54796679108902	-4.87376074229299	-4.83676618360303	-3.39969549433947	-4.40820585952978	-4.41366137038331	-4.51111852663026	-4.31341941176097	-6.22457043659203	-3.79734029407538	-4.30756094190187	-4.45870104685212	-4.13848861202219	-4.59180648677294	-4.3473171079226	-6.20323029603491	-4.35501570247758	-4.24413129006376
CSM5FZ42_P	-5.31007375668453	-4.28810149721936	-4.70100005928416	-4.43974490508107	-4.49715201623819	-4.65062893441798	-4.64170188395648	-3.88896606129784	-4.41186542502436	-4.53199868061462	-4.53079372806398	-4.26746578639597	-5.86567784858154	-3.58201665103262	-4.23586822178713	-4.91071424878969	-4.09340903574505	-4.55837774154171	-4.25839117388805	-5.86821579258668	-4.36934990910389	-4.15093756555637
CSM5FZ44_P	-5.35088909911503	-4.19933639876036	-5.2678693742092	-4.45429982401998	-4.45873548052596	-5.16983097198732	-4.88466209805706	-3.63775714666322	-4.27184023548826	-4.40945344193251	-4.43698345480477	-4.17062199749533	-6.11029611208338	-3.65797582885965	-4.25478432186696	-4.55562410236199	-4.00237640262969	-4.52964591261304	-4.30350362262151	-6.66003771563925	-4.28643164728277	-4.17249473558859
CSM5FZ46_P	-5.12817691620229	-4.23973275807919	-5.53480091573336	-4.45833712731589	-4.45833712731589	-5.42185743836352	-5.20119622826435	-3.45840736630693	-4.27493063223145	-4.31880144366711	-4.40950457706155	-4.1697692474596	-6.13406713743936	-3.64563645285012	-4.24954095494287	-4.44609555804153	-4.04237300640618	-4.53913433547505	-4.3046540001946	-6.87448664871439	-4.28616769856277	-4.22723910172335
CSM5FZ4A_P	-6.12765555242096	-4.60035424141903	-5.17009879876392	-4.14577413606171	-4.37372112197572	-5.07969224593762	-5.37443825410744	-3.84103528414769	-4.18589966946589	-4.19105505994567	-4.32784898109912	-4.13982161626918	-6.23012181131133	-4.08053584390414	-4.09438588884387	-4.29505869305701	-4.06378596457784	-4.37257949140682	-4.18759919754715	-5.99061274940578	-4.19969598004206	-4.12559433147945
