#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA448494
#original_sample_description: UNI089: KnownDMs
#run_id: SRR6928709
#experiment_type: Amplicon
#instrument_model: Illumina HiSeq 2500
#nr_reads_sequenced: 555870
#host_age: null
#sex: Female
#BMI: null
#country: India
#longitude: 73.8567
#latitude: 18.5204
#loaded_uid: 33225
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Type 2 diabetes (T2D) though considered as a metabolic non -communicable disease has reached to epidemic proportions in India. A link has been proposed between gut microbiota and development of metabolic disorders by researchers across the globe but data on Indian populations is limited. We sought to address variation in microbial community composition, distribution and community alteration in diabetic subjects and their association with the biochemical factors
ncbi_taxon_id	relative_abundance	scientific_name
237258	0.000244044	Cloacibacterium normanense
820	0.0143986	Bacteroides uniformis
290309	0.000244044	Comamonas granuli
133926	0.127635	Olsenella uli
1707394	0.0131783	Halomonas sp. JCM 11460
28126	0.00122022	Prevotella buccae
103817	0.0017083	Janibacter terrae
387090	0.0100058	Bacteroides coprophilus
39492	0.00244044	[Eubacterium] siraeum
1296	0.000488087	Staphylococcus sciuri
52787	0.00146426	Anaerofilum pentosovorans
1144661	0.000976174	Acinetobacter sp. CIP 101934
91915	0.000244044	Asaia bogorensis
1161942	0.00268448	Ruminococcus champanellensis
104268	0.000244044	Tenacibaculum mesophilum
1264	0.00146426	Ruminococcus albus
29573	0.01147	Halomonas halophila
216463	0.000244044	Lactobacillus spicheri
29385	0.00317257	Staphylococcus saprophyticus
28026	1.13017	Bifidobacterium pseudocatenulatum
81468	0.000244044	Aminobacterium colombiense
1479	0.000488087	Bacillus smithii
1698	0.00219639	Brevibacterium epidermidis
346181	0.00463683	Lysobacter daejeonensis
33010	0.000244044	Propionibacterium avidum
633701	0.0095177	Prevotella saccharolytica
445709	0.000244044	Pandoraea thiooxydans
169435	0.0017083	Anaerotruncus colihominis
498055	0.000244044	Arenimonas oryziterrae
419005	0.000244044	Prevotella amnii
32013	0.000244044	Comamonas terrigena
78448	0.0187913	Bifidobacterium pullorum
39777	0.000488087	Veillonella atypica
1559	0.00927365	Clostridium tertium
478	0.0017083	Moraxella nonliquefaciens
33996	0.000244044	Gluconacetobacter diazotrophicus
62322	0.000976174	Shewanella baltica
132476	0.000244044	Pseudomonas kilonensis
1463840	0.000244044	Streptomyces sp. NRRL F-2305
28117	0.00512491	Alistipes putredinis
502558	0.000488087	Eggerthella sp. YY7918
57320	0.000244044	Desulfovibrio profundus
762211	0.00414874	Bifidobacterium stellenboschense
37752	0.000488087	Flavobacterium hibernum
980427	0.00146426	Deinococcus wulumuqiensis
93222	0.000732131	Pandoraea sputorum
376351	0.000244044	Gordonia shandongensis
282402	0.000732131	Prevotella multiformis
44008	0.000488087	Enterococcus cecorum
1681	0.218419	Bifidobacterium bifidum
293371	0.000244044	Lactobacillus oligofermentans
1671366	0.000244044	Ruminococcus sp. DSM 100440
47678	0.0424636	Bacteroides caccae
29435	0.000244044	Pseudomonas flavescens
1406	0.000488087	Paenibacillus polymyxa
1859290	0.00146426	Corynebacterium sp. YIM 101343
28161	0.00122022	Bisgaard Taxon 7
33034	0.000244044	Anaerococcus prevotii
47846	0.000488087	Brachybacterium conglomeratum
1343	0.00219639	Streptococcus vestibularis
1270	0.00805344	Micrococcus luteus
589436	0.00195235	Prevotella fusca
519050	0.0141545	Lactobacillus sucicola
29430	0.00195235	Acinetobacter haemolyticus
29466	0.00854152	Veillonella parvula
84030	0.219883	[Clostridium] saccharolyticum
