#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA448494
#original_sample_description: UNI003: NGTs
#run_id: SRR6928744
#experiment_type: Amplicon
#instrument_model: Illumina HiSeq 2500
#nr_reads_sequenced: 502109
#host_age: null
#sex: Male
#BMI: null
#country: India
#longitude: 73.8567
#latitude: 18.5204
#loaded_uid: 48155
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Type 2 diabetes (T2D) though considered as a metabolic non -communicable disease has reached to epidemic proportions in India. A link has been proposed between gut microbiota and development of metabolic disorders by researchers across the globe but data on Indian populations is limited. We sought to address variation in microbial community composition, distribution and community alteration in diabetic subjects and their association with the biochemical factors
ncbi_taxon_id	relative_abundance	scientific_name
437898	0.0456352	Sutterella parvirubra
78342	0.0129955	Bifidobacterium gallicum
1620	0.00030222	Weissella minor
1623	0.0129955	Lactobacillus ruminis
77768	0.00543996	Prevotella albensis
47678	0.00332442	Bacteroides caccae
28025	0.00271998	Bifidobacterium animalis
155866	0.00967103	Weissella soli
706566	0.00060444	Meniscus glaucopis
48466	0.00030222	Prosthecobacter vanneervenii
1221450	0.00030222	Bacillus abyssalis
437505	0.00030222	Granulosicoccus antarcticus
739	0.00664884	Aggregatibacter segnis
488	0.00211554	Neisseria mucosa
33033	0.00030222	Parvimonas micra
1512	0.0148088	[Clostridium] symbiosum
1755642	0.000906659	Lachnospiraceae bacterium MC_35
77098	0.000906659	Halomonas pacifica
310514	0.0060444	Prevotella multisaccharivorax
60133	0.00030222	Prevotella pallens
79209	0.00030222	Desulfosporosinus meridiei
218538	1.89371	Dialister invisus
36745	0.00271998	Clostridium saccharoperbutylacetonicum
44749	0.0695106	Sporobacter termitidis
69825	0.0489596	[Clostridium] indolis
39484	0.0135999	Eubacterium desmolans
461876	0.00060444	Alkaliphilus oremlandii
57320	0.00030222	Desulfovibrio profundus
216940	0.00030222	Spiroplasma lampyridicola
52787	0.00271998	Anaerofilum pentosovorans
821	0.00725328	Bacteroides vulgatus
1267	0.00543996	Clostridium ventriculi
228603	1.14904	Prevotella shahii
1418	0.00030222	Bacillus mannanilyticus
750	0.012391	Gallibacterium anatis
28134	0.00362664	Prevotella oralis
80876	0.00030222	Insolitispirillum peregrinum
365349	0.00060444	Pelosinus fermentans
454154	0.00271998	Paraprevotella clara
37734	0.00392886	Enterococcus casseliflavus
29389	0.00060444	Streptococcus alactolyticus
1406512	0.000906659	Candidatus Methanomassiliicoccus intestinalis
1908260	0.00030222	Unknown
1735	0.00543996	Holdemanella biformis
729	0.264745	Haemophilus parainfluenzae
626937	0.00181332	Christensenella minuta
341225	0.00815993	[Clostridium] saccharogumia
823	0.00876437	Parabacteroides distasonis
1264	0.00241776	Ruminococcus albus
28125	4.73548	Prevotella bivia
762212	0.00030222	Bifidobacterium biavatii
47679	0.00030222	Sporomusa sphaeroides
72000	0.00030222	Kocuria rhizophila
1541	0.00030222	Terrisporobacter mayombei
135082	0.000906659	Selenomonas infelix
470565	0.0015111	Prevotella histicola
1308	0.45333	Streptococcus thermophilus
1078392	0.00030222	Aggregatibacter sp. CCUG 36139
47671	0.00241776	Lautropia mirabilis
169435	0.0465419	Anaerotruncus colihominis
45670	0.00030222	Salinicoccus roseus
44933	0.00030222	Halomonas cupida
264463	0.00030222	Anaerosporobacter mobilis
387090	0.00060444	Bacteroides coprophilus
358743	0.00060444	[Clostridium] citroniae
931534	0.00030222	Lactobacillus senioris
39490	0.00181332	Eubacterium ramulus
1404	0.00030222	Bacillus megaterium
735	0.00060444	Haemophilus parahaemolyticus
58138	0.0015111	Desulfotomaculum acetoxidans
28091	0.00060444	Neisseria weaveri
552357	0.00030222	Shewanella fodinae
35833	0.0160176	Bilophila wadsworthia
2736	0.00060444	Verrucomicrobium spinosum
58180	0.00030222	Desulfovibrio alaskensis
1491	0.00030222	Clostridium botulinum
65552	0.00060444	Meiothermus cerbereus
395922	0.00030222	Coraliomargarita akajimensis
202747	0.00030222	Sulfurimonas autotrophica
833	0.00030222	Fibrobacter succinogenes
1114067	0.0154132	Weissella sp. NBRC 107245
905	0.000906659	Acidaminococcus fermentans
589436	0.00967103	Prevotella fusca
28026	0.0407997	Bifidobacterium pseudocatenulatum
654	0.00120888	Aeromonas veronii
146919	0.000906659	Salinibacter ruber
1559	0.0135999	Clostridium tertium
290309	0.00030222	Comamonas granuli
94254	0.00030222	Dyadobacter fermentans
585	0.00030222	Proteus vulgaris
86957	0.0235731	Selenomonas lacticifex
175696	0.00030222	Thermaerobacter subterraneus
84031	0.0111821	Clostridium sartagoforme
39496	0.00120888	Eubacterium ventriosum
48076	0.00120888	Marinobacterium georgiense
246787	0.00030222	Bacteroides cellulosilyticus
148814	0.00030222	Lactobacillus kunkeei
309120	0.00997325	Dialister micraerophilus
46503	0.00513774	Parabacteroides merdae
415229	0.00030222	Pseudoxanthomonas spadix
964	0.00060444	Herbaspirillum seropedicae
381741	0.00030222	Lactobacillus thailandensis
165096	0.00030222	Weissella koreensis
36847	0.0139021	[Clostridium] neopropionicum
51161	0.00060444	Actinobacillus delphinicola
66229	0.000906659	Komagataeibacter intermedius
84030	0.0323375	[Clostridium] saccharolyticum
521157	0.0226665	Weissella sp. KLDS 7.0701
89152	0.00030222	[Clostridium] hiranonis
35760	0.0030222	Bifidobacterium choerinum
166486	0.057724	Roseburia intestinalis
1220023	0.00030222	Halolamina salina
246618	0.00271998	Bifidobacterium thermacidophilum
39482	0.00060444	[Eubacterium] contortum
208479	0.0015111	[Clostridium] bolteae
310297	0.0129955	Bacteroides plebeius
882104	0.00030222	Methanoregula formicica
831	0.0722305	Butyrivibrio fibrisolvens
33072	0.00030222	Gloeobacter violaceus
33036	0.00030222	Anaerococcus tetradius
89153	0.00271998	[Clostridium] hylemonae
732	0.00120888	Aggregatibacter aphrophilus
1121298	0.000906659	Clostridium amylolyticum
282402	0.0015111	Prevotella multiformis
496	0.000906659	Neisseria macacae
59310	0.00030222	Streptococcus macedonicus
328813	0.00060444	Alistipes onderdonkii
1590	0.00030222	Lactobacillus plantarum
80679	0.00030222	Thioflavicoccus mobilis
626938	0.00030222	Succinatimonas hippei
738	0.00030222	[Haemophilus] parasuis
55197	0.00030222	Flavobacterium branchiophilum
36874	0.00030222	Porphyromonas cangingivalis
214856	0.00030222	Alistipes finegoldii
931	0.00030222	Thiobacillus thioparus
189425	0.00030222	Paenibacillus graminis
238015	0.00030222	Lactobacillus vini
114702	0.00211554	Actinomyces lingnae
2751	0.000906659	Carnobacterium maltaromaticum
1385386	0.00060444	Streptococcus sp. MR-1933
1307	0.0320353	Streptococcus suis
