#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA448494
#original_sample_description: UNI056: KnownDMs
#run_id: SRR6928751
#experiment_type: Amplicon
#instrument_model: Illumina HiSeq 2500
#nr_reads_sequenced: 465171
#host_age: null
#sex: Male
#BMI: null
#country: India
#longitude: 73.8567
#latitude: 18.5204
#loaded_uid: 33257
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Type 2 diabetes (T2D) though considered as a metabolic non -communicable disease has reached to epidemic proportions in India. A link has been proposed between gut microbiota and development of metabolic disorders by researchers across the globe but data on Indian populations is limited. We sought to address variation in microbial community composition, distribution and community alteration in diabetic subjects and their association with the biochemical factors
ncbi_taxon_id	relative_abundance	scientific_name
395922	0.000621562	Coraliomargarita akajimensis
1584	0.00124312	Lactobacillus delbrueckii
29348	0.0335643	[Clostridium] spiroforme
1168035	0.000310781	Tangfeifania diversioriginum
2193	0.000310781	Methanocorpusculum parvum
839	0.00124312	Prevotella ruminicola
498	0.000310781	Psychrobacter immobilis
220684	0.000621562	Bacillus drentensis
187145	0.000310781	Caldithrix abyssi
2047	0.000621562	Rothia dentocariosa
103892	24.5455	Veillonella ratti
33959	0.0015539	Lactobacillus johnsonii
303240	0.000310781	Lactobacillus uvarum
574963	0.000310781	Wandonia haliotis
288965	0.00124312	[Clostridium] clariflavum
28111	0.0139851	Bacteroides eggerthii
847	0.000310781	Oxalobacter formigenes
1605	0.000621562	Lactobacillus animalis
1687	0.00217547	Bifidobacterium coryneforme
432303	0.000621562	Marinobacter guineae
35785	0.00435093	Clostridium maximum
209463	0.000621562	Bacillus senegalensis
871325	0.000310781	Bacteroides faecichinchillae
1590	0.00124312	Lactobacillus plantarum
1113644	0.000310781	Runella sp. NBRC 15129
2738	0.000310781	Vagococcus fluvialis
209462	0.000310781	Bacillus pichinotyi
79883	0.000621562	Bacillus horikoshii
156892	0.000310781	Actinomyces marimammalium
562	0.238369	Escherichia coli
128	0.000310781	Isosphaera pallida
1535	0.0599807	[Clostridium] leptum
187452	0.000310781	Pediococcus claussenii
1297750	0.0164714	Bacteroides luti
1282	0.00310781	Staphylococcus epidermidis
1329370	0.00124312	Halomonas qiaohouensis
574375	0.0885726	Bacillus gaemokensis
157782	0.000310781	Pseudomonas parafulva
273164	0.00404015	Pontibacillus marinus
818	0.065264	Bacteroides thetaiotaomicron
1495	0.000621562	Clostridium cylindrosporum
386414	0.000310781	Prevotella timonensis
163665	0.000310781	Dysgonomonas mossii
