#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA448494
#original_sample_description: UNI082: KnownDMs
#run_id: SRR6928704
#experiment_type: Amplicon
#instrument_model: Illumina HiSeq 2500
#nr_reads_sequenced: 594903
#host_age: null
#sex: Female
#BMI: null
#country: India
#longitude: 73.8567
#latitude: 18.5204
#loaded_uid: 33220
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Type 2 diabetes (T2D) though considered as a metabolic non -communicable disease has reached to epidemic proportions in India. A link has been proposed between gut microbiota and development of metabolic disorders by researchers across the globe but data on Indian populations is limited. We sought to address variation in microbial community composition, distribution and community alteration in diabetic subjects and their association with the biochemical factors
ncbi_taxon_id	relative_abundance	scientific_name
37930	0.000260217	Glutamicibacter protophormiae
157838	0.00468391	Bacillus shackletonii
46503	0.43066	Parabacteroides merdae
97253	0.00208174	Eubacterium plexicaudatum
650643	0.0174346	Alistipes sp. RMA 9912
1249	0.000260217	Weissella paramesenteroides
1755629	0.0137915	Victivallis sp. MC_44
467997	0.000260217	Weissella ghanensis
41211	0.000260217	Desulfotomaculum sp.
732242	0.00260217	Bacteroides paurosaccharolyticus
461876	0.000260217	Alkaliphilus oremlandii
1512	0.0715598	[Clostridium] symbiosum
1428	0.00702587	Bacillus thuringiensis
29347	0.0137915	[Clostridium] scindens
163011	0.000260217	Pseudomonas lini
78342	0.171223	Bifidobacterium gallicum
356829	0.0145722	Bifidobacterium tsurumiense
964	0.00130109	Herbaspirillum seropedicae
1499	0.000520435	[Clostridium] josui
328812	0.139477	Parabacteroides goldsteinii
439703	0.000520435	Prevotella maculosa
1265	0.0182152	Ruminococcus flavefaciens
410072	0.0343487	Coprococcus comes
138595	0.00234196	Olsenella profusa
1670	0.000520435	Arthrobacter citreus
42565	0.0015613	Halomonas salina
94624	0.000260217	Bordetella petrii
414778	0.000260217	Planococcus donghaensis
180332	0.00130109	Robinsoniella peoriensis
2150	0.00182152	Acholeplasma modicum
626930	0.07182	Bacteroides fluxus
426	0.00104087	Methylosinus trichosporium
192	0.000260217	Azospirillum brasilense
1522	0.0104087	[Clostridium] innocuum
79209	0.000520435	Desulfosporosinus meridiei
1755604	0.000780652	Bacteroides sp. MC_13
907	1.71301	Megasphaera elsdenii
47671	0.000260217	Lautropia mirabilis
43131	0.000520435	Tissierella praeacuta
823	0.542553	Parabacteroides distasonis
57732	0.000260217	Enterococcus asini
74426	0.0858718	Collinsella aerofaciens
183	0.000260217	Leptonema illini
33030	0.000260217	Peptoniphilus indolicus
659243	0.000260217	Bacillus siamensis
1655	0.000260217	Actinomyces naeslundii
881	0.00234196	Desulfovibrio vulgaris
44473	0.000260217	Gloeothece membranacea
216936	0.000260217	Spiroplasma diminutum
29367	0.00104087	Clostridium puniceum
193	0.000260217	Azospirillum lipoferum
310767	0.000260217	Zoogloea oryzae
729	0.00208174	Haemophilus parainfluenzae
28446	0.00494413	[Clostridium] propionicum
293256	0.000520435	Desulfovibrio alkalitolerans
494026	0.000520435	Paenibacillus glacialis
1073423	0.000260217	Carnobacterium iners
35760	0.479841	Bifidobacterium choerinum
208226	0.00182152	Alkaliphilus metalliredigens
44001	0.000260217	Caldicellulosiruptor saccharolyticus
1492	0.00104087	Clostridium butyricum
39493	0.00494413	Clostridium tarantellae
1221450	0.000260217	Bacillus abyssalis
180	0.000520435	Leptospirillum ferrooxidans
423605	0.000260217	Elusimicrobium minutum
449306	0.000260217	Desulfobulbus sp. DSM 2033
46124	0.000520435	Granulicatella adiacens
376806	0.00650544	Bacteroides gallinarum
238015	0.00182152	Lactobacillus vini
1520	0.0015613	Clostridium beijerinckii
1553	0.00208174	Clostridium tetanomorphum
1404	0.00130109	Bacillus megaterium
1336	0.000780652	Streptococcus equi
365349	0.000780652	Pelosinus fermentans
39497	0.376014	Eubacterium xylanophilum
102134	0.000780652	Desulfotomaculum gibsoniae
1755626	3.02451	Faecalibacterium sp. MC_41
202267	0.000780652	Halomonas sp. YIM-kkny11
1510	0.613853	[Clostridium] stercorarium
105612	0.000260217	Lactobacillus algidus
821	2.74321	Bacteroides vulgatus
1113650	0.000260217	Sphingobacterium sp. NBRC 15340
1755607	0.00780652	Bacteroides sp. MC_16
29501	0.000260217	Mycoplasma haemofelis
