#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA448494
#original_sample_description: UNI090: KnownDMs
#run_id: SRR6928710
#experiment_type: Amplicon
#instrument_model: Illumina HiSeq 2500
#nr_reads_sequenced: 720269
#host_age: null
#sex: Male
#BMI: null
#country: India
#longitude: 73.8567
#latitude: 18.5204
#loaded_uid: 33226
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Type 2 diabetes (T2D) though considered as a metabolic non -communicable disease has reached to epidemic proportions in India. A link has been proposed between gut microbiota and development of metabolic disorders by researchers across the globe but data on Indian populations is limited. We sought to address variation in microbial community composition, distribution and community alteration in diabetic subjects and their association with the biochemical factors
ncbi_taxon_id	relative_abundance	scientific_name
84031	0.00464699	Clostridium sartagoforme
98513	0.000371759	Phenylobacterium haematophilum
216816	0.00390347	Bifidobacterium longum
1097668	0.0330865	Burkholderia sp. YI23
225988	0.000371759	Anoxybacillus contaminans
28199	0.00260231	Arcobacter nitrofigilis
349096	6.61322	Pectinatus haikarae
404900	0.00111528	Geminicoccus roseus
165179	59.763	Prevotella copri
1727	0.000743518	Corynebacterium variabile
171404	0.000185879	Paenibacillus agaridevorans
47847	0.000929397	Brachybacterium nesterenkovii
592978	0.000185879	Ruminococcus faecis
35791	0.000371759	Rickettsia massiliae
1365176	0.000371759	Thermofilum sp. 1910b
197614	0.00167292	Streptococcus pasteurianus
358743	0.00130116	[Clostridium] citroniae
46506	0.000743518	Bacteroides stercoris
261299	0.00297407	Intestinibacter bartlettii
77095	0.00167292	Prevotella bryantii
82375	0.000185879	Anaerosinus glycerini
156974	0.000185879	Dysgonomonas gadei
77038	0.00111528	Wolbachia endosymbiont of Drosophila simulans
1547	0.0213761	Erysipelatoclostridium ramosum
44749	0.0382912	Sporobacter termitidis
1484053	0.000185879	Mariniphaga anaerophila
84112	0.00501875	Eggerthella lenta
33035	0.39741	Blautia producta
447567	0.000557638	Halomonas andesensis
28127	0.00167292	Prevotella buccalis
310297	0.00241643	Bacteroides plebeius
905	0.0533474	Acidaminococcus fermentans
218538	1.00765	Dialister invisus
228603	0.0241643	Prevotella shahii
1465754	0.0117104	Alistipes timonensis
1686	0.0217479	Bifidobacterium catenulatum
44933	0.00408935	Halomonas cupida
34004	0.000185879	Paracoccus aminovorans
1735	0.0081787	Holdemanella biformis
78331	0.000185879	Mycobacterium canettii
195064	0.00278819	Ectothiorhodospira mobilis
483	0.000557638	Neisseria cinerea
983706	0.000185879	Bifidobacterium reuteri
219301	0.00167292	Brachybacterium muris
1304	0.0221197	Streptococcus salivarius
691816	0.000743518	Bacteroides rodentium
1405	0.000743518	Bacillus mycoides
1601	0.000185879	Lactobacillus agilis
1328	0.00278819	Streptococcus anginosus
53462	0.000371759	Mycobacterium mageritense
1411122	0.000185879	Hymenobacter luteus
78344	0.000929397	Bifidobacterium gallinarum
104955	0.000185879	Lactobacillus frumenti
40215	0.000185879	Acinetobacter junii
508460	0.126212	Cloacibacillus evryensis
626947	0.00966573	Parasutterella secunda
1694	0.0302984	Bifidobacterium pseudolongum
36847	0.0291831	[Clostridium] neopropionicum
817	0.0152421	Bacteroides fragilis
158898	0.000185879	Gordonia westfalica
33940	0.000185879	Geobacillus thermodenitrificans
309120	0.14573	Dialister micraerophilus
357276	0.00706342	Bacteroides dorei
271420	0.000185879	Pseudomonas xanthomarina
93064	0.000185879	Sphingomonas koreensis
114	0.0115245	Gemmata obscuriglobus
1660	0.00111528	Actinomyces odontolyticus
899	0.000185879	Desulfomicrobium baculatum
645466	0.00762106	Anaerostipes butyraticus
33953	0.000557638	Clostridium aminobutyricum
75291	0.000929397	Pseudonocardia alaniniphila
1506	0.00111528	Clostridium sp.
465820	0.000743518	Curtobacterium oceanosedimentum
703	0.000185879	Plesiomonas shigelloides
35517	0.000929397	[Eubacterium] brachy
330214	0.00148704	Nitrospira defluvii
39950	0.0492581	Dialister pneumosintes
47885	0.000185879	Pseudomonas oryzihabitans
290053	0.000557638	Bacteroides helcogenes
53422	0.00130116	Thermobrachium celere
173363	0.000371759	Brachybacterium fresconis
52242	0.000185879	Lactobacillus gallinarum
44009	0.000185879	Enterococcus dispar
536633	0.104464	Blautia glucerasea
1307	0.00185879	Streptococcus suis
185294	0.130859	Prevotella paludivivens
246618	0.0315995	Bifidobacterium thermacidophilum
400668	0.000185879	Marinomonas sp. MWYL1
1258	0.000557638	Peptoniphilus asaccharolyticus
287	0.00743518	Pseudomonas aeruginosa
284581	0.000371759	Bacillus koreensis
101192	0.000185879	Methanomethylovorans hollandica
626931	0.00111528	Bacteroides oleiciplenus
61	0.000371759	Vitreoscilla stercoraria
81475	0.000185879	Frateuria aurantia
1113973	0.00111528	Lactococcus sp. NBRC 106034
209446	0.000185879	Candidatus Mycoplasma haemominutum
1311	0.000185879	Streptococcus agalactiae
1565	0.00260231	Desulfotomaculum nigrificans
29371	0.000185879	[Clostridium] termitidis
82347	0.000185879	Facklamia languida
173364	0.000743518	Brachybacterium sacelli
395387	0.00315995	Curtobacterium ammoniigenes
930124	0.000557638	Bacillus halosaccharovorans
260355	0.000185879	Limnobacter sp. HTCC376
38304	0.000371759	Corynebacterium tuberculostearicum
