#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA448494
#original_sample_description: UNI007: NGTs
#run_id: SRR6928748
#experiment_type: Amplicon
#instrument_model: Illumina HiSeq 2500
#nr_reads_sequenced: 397721
#host_age: null
#sex: Female
#BMI: null
#country: India
#longitude: 73.8567
#latitude: 18.5204
#loaded_uid: 48159
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Type 2 diabetes (T2D) though considered as a metabolic non -communicable disease has reached to epidemic proportions in India. A link has been proposed between gut microbiota and development of metabolic disorders by researchers across the globe but data on Indian populations is limited. We sought to address variation in microbial community composition, distribution and community alteration in diabetic subjects and their association with the biochemical factors
ncbi_taxon_id	relative_abundance	scientific_name
47671	0.00123643	Lautropia mirabilis
2317	0.000412143	Methanosphaera stadtmanae
470565	0.000824287	Prevotella histicola
1308	0.545678	Streptococcus thermophilus
1387985	0.000412143	Saccharopolyspora cavernae
1541	0.0127764	Terrisporobacter mayombei
135082	0.000412143	Selenomonas infelix
101070	0.00164857	Rummeliibacillus pycnus
147709	0.000412143	Carnobacterium inhibens
93063	0.000824287	Sphingomonas aquatilis
1882754	0.000412143	Unknown
28125	0.0490451	Prevotella bivia
762212	0.00906715	Bifidobacterium biavatii
29394	0.000412143	Dolosigranulum pigrum
1755604	0.000412143	Bacteroides sp. MC_13
1264	0.128177	Ruminococcus albus
1255	0.000412143	Pediococcus pentosaceus
823	0.154966	Parabacteroides distasonis
202955	0.000412143	Acinetobacter tjernbergiae
390842	0.000824287	Lactobacillus parafarraginis
341225	0.220085	[Clostridium] saccharogumia
626937	0.0094793	Christensenella minuta
566027	0.000412143	Micrococcus yunnanensis
28034	0.000412143	Sulfobacillus thermosulfidooxidans
2057	0.000412143	Sphaerobacter thermophilus
729	0.0304986	Haemophilus parainfluenzae
310300	0.000824287	Bacteroides pyogenes
1735	0.0148372	Holdemanella biformis
426	0.000412143	Methylosinus trichosporium
349221	0.000412143	Micavibrio aeruginosavorus
176292	0.00123643	Lactobacillus malefermentans
151895	0.000412143	Pseudopedobacter saltans
52773	0.000824287	Actinomyces meyeri
1406512	0.000412143	Candidatus Methanomassiliicoccus intestinalis
37734	0.00412143	Enterococcus casseliflavus
249	0.000412143	Terrimonas ferruginea
1391653	0.000412143	Vulgatibacter incomptus
552810	0.000824287	Dehalogenimonas lykanthroporepellens
454154	0.251407	Paraprevotella clara
365349	0.000412143	Pelosinus fermentans
43989	0.000412143	Cyanothece sp. ATCC 51142
28134	0.000412143	Prevotella oralis
1113741	0.000412143	Bacillus sp. NBRC 101250
228603	0.0395658	Prevotella shahii
341694	0.000412143	Peptostreptococcus stomatis
358742	0.000824287	[Clostridium] aldenense
821	0.687455	Bacteroides vulgatus
1267	0.00741858	Clostridium ventriculi
38986	0.000412143	Acholeplasma palmae
165813	0.000412143	Sporanaerobacter acetigenes
52787	0.0659429	Anaerofilum pentosovorans
291645	0.0168979	Bacteroides nordii
43770	0.000412143	Corynebacterium striatum
86664	0.000412143	Bacillus flexus
86332	0.000412143	Mogibacterium pumilum
357276	0.128177	Bacteroides dorei
45851	0.000412143	Butyrivibrio crossotus
218538	2.22269	Dialister invisus
69825	0.0931444	[Clostridium] indolis
36745	0.103036	Clostridium saccharoperbutylacetonicum
39484	0.0787194	Eubacterium desmolans
44749	0.103448	Sporobacter termitidis
408	0.000412143	Methylobacterium extorquens
1280	0.002885	Staphylococcus aureus
310514	0.0276136	Prevotella multisaccharivorax
77098	0.0152493	Halomonas pacifica
1688	0.00123643	Bifidobacterium cuniculi
147802	0.000412143	Lactobacillus iners
1755642	0.000412143	Lachnospiraceae bacterium MC_35
1512	0.0300865	[Clostridium] symbiosum
60478	0.000412143	Shewanella amazonensis
1544	0.000412143	[Clostridium] oroticum
53422	0.000824287	Thermobrachium celere
384638	0.000412143	[Bacteroides] pectinophilus
488	0.000824287	Neisseria mucosa
33033	0.00164857	Parvimonas micra
48466	0.00123643	Prosthecobacter vanneervenii
270498	0.00206072	Catabacter hongkongensis
28025	0.0457479	Bifidobacterium animalis
1313	0.000412143	Streptococcus pneumoniae
